dataset	lang	model	measure1	measure2	corr
europarl	de	bm25	bleu.lower.stem	prec1.lower.depunc	0.9623515200690815
europarl	de	bm25	bleu.lower.stem	prec1.lower.stem.depunc	0.9623515200690815
europarl	de	bm25	bleu.lower.stem	prec2.lower	0.9666666666666667
europarl	de	bm25	bleu.lower.stem	prec2.lower.stem	0.991631652042901
europarl	de	bm25	bleu.lower.stem	prec2.lower.depunc	0.9623515200690815
europarl	de	bm25	bleu.lower.stem	prec2.lower.stem.depunc	0.9874208829065748
europarl	de	bm25	bleu.lower.stem	prec3.lower	0.9790880682441959
europarl	de	bm25	bleu.lower.stem	prec3.lower.stem	0.9958246164193105
europarl	de	bm25	bleu.lower.stem	prec3.lower.depunc	0.9790880682441959
europarl	de	bm25	bleu.lower.stem	prec3.lower.stem.depunc	0.9833333333333333
europarl	de	bm25	bleu.lower.stem	prec4.lower	0.9748243359065808
europarl	de	bm25	bleu.lower.stem	prec4.lower.stem	1.0
europarl	de	bm25	bleu.lower.stem	prec4.lower.depunc	0.991631652042901
europarl	de	bm25	bleu.lower.stem	prec4.lower.stem.depunc	0.9958246164193105
europarl	de	bm25	bleu.lower.depunc	size	0.9441565403200105
europarl	de	bm25	bleu.lower.depunc	bpe.tokens	0.045834924851410566
europarl	de	bm25	bleu.lower.depunc	map	0.8571428571428573
europarl	de	bm25	bleu.lower.depunc	map.gm	0.8786687791935092
europarl	de	bm25	bleu.lower.depunc	p.5	0.7447763937925935
europarl	de	bm25	bleu.lower.depunc	p.10	0.7899159663865547
europarl	de	bm25	bleu.lower.depunc	r.10	0.8117225864930513
europarl	de	bm25	bleu.lower.depunc	rbo	0.8954053273686235
europarl	de	bm25	bleu.lower.depunc	ndcg	0.8786687791935092
europarl	de	bm25	bleu.lower.depunc	bleu.lower	0.9958246164193105
europarl	de	bm25	bleu.lower.depunc	bleu.lower.stem	0.9958246164193105
europarl	de	bm25	bleu.lower.depunc	bleu.lower.stem.depunc	1.0
europarl	de	bm25	bleu.lower.depunc	prec1.lower	0.9456149718939671
europarl	de	bm25	bleu.lower.depunc	prec1.lower.stem	0.9456149718939671
europarl	de	bm25	bleu.lower.depunc	prec1.lower.depunc	0.9663865546218487
europarl	de	bm25	bleu.lower.depunc	prec1.lower.stem.depunc	0.9663865546218487
europarl	de	bm25	bleu.lower.depunc	prec2.lower	0.9623515200690814
europarl	de	bm25	bleu.lower.depunc	prec2.lower.stem	0.9873505612967642
europarl	de	bm25	bleu.lower.depunc	prec2.lower.depunc	0.9663865546218487
europarl	de	bm25	bleu.lower.depunc	prec2.lower.stem.depunc	0.9915610305527968
europarl	de	bm25	bleu.lower.depunc	prec3.lower	0.9747899159663866
europarl	de	bm25	bleu.lower.depunc	prec3.lower.stem	0.9915966386554623
europarl	de	bm25	bleu.lower.depunc	prec3.lower.depunc	0.9915966386554623
europarl	de	bm25	bleu.lower.depunc	prec3.lower.stem.depunc	0.9958246164193105
europarl	de	bm25	bleu.lower.depunc	prec4.lower	0.9704727739241699
europarl	de	bm25	bleu.lower.depunc	prec4.lower.stem	0.9958246164193105
europarl	de	bm25	bleu.lower.depunc	prec4.lower.depunc	0.9957894549830614
europarl	de	bm25	bleu.lower.depunc	prec4.lower.stem.depunc	1.0
europarl	de	bm25	bleu.lower.stem.depunc	size	0.9441565403200105
europarl	de	bm25	bleu.lower.stem.depunc	bpe.tokens	0.045834924851410566
europarl	de	bm25	bleu.lower.stem.depunc	map	0.8571428571428573
europarl	de	bm25	bleu.lower.stem.depunc	map.gm	0.8786687791935092
europarl	de	bm25	bleu.lower.stem.depunc	p.5	0.7447763937925935
europarl	de	bm25	bleu.lower.stem.depunc	p.10	0.7899159663865547
europarl	de	bm25	bleu.lower.stem.depunc	r.10	0.8117225864930513
europarl	de	bm25	bleu.lower.stem.depunc	rbo	0.8954053273686235
europarl	de	bm25	bleu.lower.stem.depunc	ndcg	0.8786687791935092
europarl	de	bm25	bleu.lower.stem.depunc	bleu.lower	0.9958246164193105
europarl	de	bm25	bleu.lower.stem.depunc	bleu.lower.stem	0.9958246164193105
europarl	de	bm25	bleu.lower.stem.depunc	bleu.lower.depunc	1.0
europarl	de	bm25	bleu.lower.stem.depunc	prec1.lower	0.9456149718939671
europarl	de	bm25	bleu.lower.stem.depunc	prec1.lower.stem	0.9456149718939671
europarl	de	bm25	bleu.lower.stem.depunc	prec1.lower.depunc	0.9663865546218487
europarl	de	bm25	bleu.lower.stem.depunc	prec1.lower.stem.depunc	0.9663865546218487
europarl	de	bm25	bleu.lower.stem.depunc	prec2.lower	0.9623515200690814
europarl	de	bm25	bleu.lower.stem.depunc	prec2.lower.stem	0.9873505612967642
europarl	de	bm25	bleu.lower.stem.depunc	prec2.lower.depunc	0.9663865546218487
europarl	de	bm25	bleu.lower.stem.depunc	prec2.lower.stem.depunc	0.9915610305527968
europarl	de	bm25	bleu.lower.stem.depunc	prec3.lower	0.9747899159663866
europarl	de	bm25	bleu.lower.stem.depunc	prec3.lower.stem	0.9915966386554623
europarl	de	bm25	bleu.lower.stem.depunc	prec3.lower.depunc	0.9915966386554623
europarl	de	bm25	bleu.lower.stem.depunc	prec3.lower.stem.depunc	0.9958246164193105
europarl	de	bm25	bleu.lower.stem.depunc	prec4.lower	0.9704727739241699
europarl	de	bm25	bleu.lower.stem.depunc	prec4.lower.stem	0.9958246164193105
europarl	de	bm25	bleu.lower.stem.depunc	prec4.lower.depunc	0.9957894549830614
europarl	de	bm25	bleu.lower.stem.depunc	prec4.lower.stem.depunc	1.0
europarl	de	bm25	prec1.lower	size	0.8970852271450604
europarl	de	bm25	prec1.lower	bpe.tokens	0.09128709291752768
europarl	de	bm25	prec1.lower	map	0.8786687791935092
europarl	de	bm25	prec1.lower	map.gm	0.8833333333333333
europarl	de	bm25	prec1.lower	p.5	0.7666666666666667
europarl	de	bm25	prec1.lower	p.10	0.8117225864930513
europarl	de	bm25	prec1.lower	r.10	0.8166666666666667
europarl	de	bm25	prec1.lower	rbo	0.9166666666666666
europarl	de	bm25	prec1.lower	ndcg	0.9
europarl	de	bm25	prec1.lower	bleu.lower	0.9500000000000001
europarl	de	bm25	prec1.lower	bleu.lower.stem	0.9500000000000001
europarl	de	bm25	prec1.lower	bleu.lower.depunc	0.9456149718939671
europarl	de	bm25	prec1.lower	bleu.lower.stem.depunc	0.9456149718939671
europarl	de	bm25	prec1.lower	prec1.lower.stem	1.0
europarl	de	bm25	prec1.lower	prec1.lower.depunc	0.9790880682441959
europarl	de	bm25	prec1.lower	prec1.lower.stem.depunc	0.9790880682441959
europarl	de	bm25	prec1.lower	prec2.lower	0.9833333333333333
europarl	de	bm25	prec1.lower	prec2.lower.stem	0.9748243359065808
europarl	de	bm25	prec1.lower	prec2.lower.depunc	0.9790880682441959
europarl	de	bm25	prec1.lower	prec2.lower.stem.depunc	0.9705418934551804
europarl	de	bm25	prec1.lower	prec3.lower	0.9790880682441959
europarl	de	bm25	prec1.lower	prec3.lower.stem	0.9623515200690815
europarl	de	bm25	prec1.lower	prec3.lower.depunc	0.9456149718939671
europarl	de	bm25	prec1.lower	prec3.lower.stem.depunc	0.9333333333333332
europarl	de	bm25	prec1.lower	prec4.lower	0.9748243359065808
europarl	de	bm25	prec1.lower	prec4.lower.stem	0.9500000000000001
europarl	de	bm25	prec1.lower	prec4.lower.depunc	0.94120970363394
europarl	de	bm25	prec1.lower	prec4.lower.stem.depunc	0.9456149718939671
europarl	de	bm25	prec1.lower.stem	size	0.8970852271450604
europarl	de	bm25	prec1.lower.stem	bpe.tokens	0.09128709291752768
europarl	de	bm25	prec1.lower.stem	map	0.8786687791935092
europarl	de	bm25	prec1.lower.stem	map.gm	0.8833333333333333
europarl	de	bm25	prec1.lower.stem	p.5	0.7666666666666667
europarl	de	bm25	prec1.lower.stem	p.10	0.8117225864930513
europarl	de	bm25	prec1.lower.stem	r.10	0.8166666666666667
europarl	de	bm25	prec1.lower.stem	rbo	0.9166666666666666
europarl	de	bm25	prec1.lower.stem	ndcg	0.9
europarl	de	bm25	prec1.lower.stem	bleu.lower	0.9500000000000001
europarl	de	bm25	prec1.lower.stem	bleu.lower.stem	0.9500000000000001
europarl	de	bm25	prec1.lower.stem	bleu.lower.depunc	0.9456149718939671
europarl	de	bm25	prec1.lower.stem	bleu.lower.stem.depunc	0.9456149718939671
europarl	de	bm25	prec1.lower.stem	prec1.lower	1.0
europarl	de	bm25	prec1.lower.stem	prec1.lower.depunc	0.9790880682441959
europarl	de	bm25	prec1.lower.stem	prec1.lower.stem.depunc	0.9790880682441959
europarl	de	bm25	prec1.lower.stem	prec2.lower	0.9833333333333333
europarl	de	bm25	prec1.lower.stem	prec2.lower.stem	0.9748243359065808
europarl	de	bm25	prec1.lower.stem	prec2.lower.depunc	0.9790880682441959
europarl	de	bm25	prec1.lower.stem	prec2.lower.stem.depunc	0.9705418934551804
europarl	de	bm25	prec1.lower.stem	prec3.lower	0.9790880682441959
