dataset	lang	size	bpe.tokens	model	query	map	map.gm	p.5	p.10	r.10	rbo	ndcg	bleu.lower	bleu.lower.stem	bleu.lower.depunc	bleu.lower.stem.depunc	prec1.lower	prec1.lower.stem	prec1.lower.depunc	prec1.lower.stem.depunc	prec2.lower	prec2.lower.stem	prec2.lower.depunc	prec2.lower.stem.depunc	prec3.lower	prec3.lower.stem	prec3.lower.depunc	prec3.lower.stem.depunc	prec4.lower	prec4.lower.stem	prec4.lower.depunc	prec4.lower.stem.depunc
wiki	de	50000	32000	neural	all	0.0616	8e-04	0.0172	0.0125	0.1246	0.0820146422028725	0.1404	23.9	24.7	22.1	23	57.2	58.5	55.7	57.3	30.5	31.6	30	31.1	18.3	19	17.4	18.2	11.2	11.7	10.3	10.8
wiki	de	100000	16000	neural	all	0.105	0.0024	0.0293	0.0205	0.2046	0.119333608322904	0.1991	28.9	29.9	27	28.2	61.6	63.3	59.5	61.5	35.7	37	34.6	36	22.8	23.7	21.5	22.5	15	15.6	13.7	14.4
wiki	cs	150000	16000	bm25	all	0.6747	0.1662	0.1496	0.0784	0.7841	0.359416296972338	0.7207	29.4	30.7	27.4	28.8	62.1	64	59.7	62	36	37.5	34.6	36.1	23	24.2	21.5	22.7	15	15.9	13.7	14.6
wiki	de	125000	16000	neural	all	0.094	0.0023	0.027	0.019	0.1896	0.114781214667264	0.1902	28.8	29.8	27	28.2	61.3	63	59.5	61.5	35.5	36.8	34.6	36	22.7	23.6	21.6	22.6	14.8	15.5	13.7	14.4
wiki	de	100000	16000	bm25	all	0.7518	0.298	0.164	0.085	0.85	0.396480468683451	0.7909	28.9	29.9	27	28.2	61.6	63.3	59.5	61.5	35.7	37	34.6	36	22.8	23.7	21.5	22.5	15	15.6	13.7	14.4
wiki	cs	125000	16000	bm25	all	0.6664	0.1611	0.1479	0.0773	0.7729	0.356062825267813	0.7137	28.7	30	26.7	28.1	61.9	63.9	59.4	61.7	35.5	37.1	34.1	35.7	22.7	23.8	21.2	22.3	14.8	15.7	13.4	14.3
wiki	cs	50000	16000	bm25	all	0.585	0.0899	0.1326	0.0702	0.7021	0.302602360984834	0.6403	23.9	25.2	21.9	23.3	57.5	59.5	54.9	57.3	30.3	31.9	28.8	30.5	18	19.1	16.6	17.7	11	11.8	9.7	10.6
wiki	cs	25000	16000	neural	all	0.0454	3e-04	0.012	0.0091	0.0906	0.0614519592500338	0.1085	18.7	19.8	16.7	17.9	51.5	53.4	48.5	50.7	24.3	25.6	22.8	24.2	13.3	14.1	11.9	12.8	7.4	8	6.3	6.9
wiki	de	50000	16000	neural	all	0.0914	0.0015	0.0262	0.0182	0.182	0.10309038971476	0.1793	24.8	25.9	23.1	24.2	58.7	60.4	56.4	58.3	32.1	33.3	31	32.4	19.5	20.4	18.4	19.3	12.1	12.8	11	11.7
wiki	de	25000	32000	bm25	all	0.3795	0.0152	0.0899	0.0502	0.5023	0.184912677331756	0.4473	18.5	19	16.7	17.3	51.8	52.9	48.8	50.1	24.9	25.6	23.7	24.5	13.6	14.1	12.4	12.9	7.7	7.9	6.7	7
wiki	de	100000	32000	bm25	all	0.7174	0.248	0.158	0.0825	0.8252	0.373766436499866	0.7613	28.4	29.4	26.7	27.8	61.7	63.4	59.7	61.6	35.6	36.8	34.7	36	22.7	23.5	21.5	22.4	14.8	15.4	13.6	14.3
